GISJOIN,YEAR,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JMBE001,JMBE002,JMBE003,JMBE004,JMBE005,JMBE006,JMBE007,JMBE008,JMBE009,JMBE010,NAME_M,JMBM001,JMBM002,JMBM003,JMBM004,JMBM005,JMBM006,JMBM007,JMBM008,JMBM009,JMBM010
"G49663","2006-2010",,,,,,,,,,,,,,,,,,,,,"Liberty, NY Urban Cluster","49663",,,,,,,,,,,"Liberty, NY Urban Cluster",4548,3278,358,160,73,0,268,411,0,411,"Liberty, NY Urban Cluster",373,537,182,180,71,123,229,212,123,212
"G49690","2006-2010",,,,,,,,,,,,,,,,,,,,,"Liberty, TX Urban Cluster","49690",,,,,,,,,,,"Liberty, TX Urban Cluster",7428,4773,1444,8,75,0,889,239,212,27,"Liberty, TX Urban Cluster",460,499,352,9,77,127,344,241,240,34
"G49717","2006-2010",,,,,,,,,,,,,,,,,,,,,"Ligonier, IN Urban Cluster","49717",,,,,,,,,,,"Ligonier, IN Urban Cluster",4610,3599,10,11,0,8,810,172,43,129,"Ligonier, IN Urban Cluster",394,469,17,18,119,12,366,145,61,131
"G49744","2006-2010",,,,,,,,,,,,,,,,,,,,,"Ligonier, PA Urban Cluster","49744",,,,,,,,,,,"Ligonier, PA Urban Cluster",3522,3445,0,0,0,27,50,0,0,0,"Ligonier, PA Urban Cluster",410,369,109,109,109,42,69,109,109,109
"G49771","2006-2010",,,,,,,,,,,,,,,,,,,,,"Lihue, HI Urban Cluster","49771",,,,,,,,,,,"Lihue, HI Urban Cluster",13690,2569,123,72,6628,952,53,3293,0,3293,"Lihue, HI Urban Cluster",919,351,108,44,601,380,41,755,123,755
"G49798","2006-2010",,,,,,,,,,,,,,,,,,,,,"Lillington, NC Urban Cluster","49798",,,,,,,,,,,"Lillington, NC Urban Cluster",3610,2055,1368,24,0,0,102,61,0,61,"Lillington, NC Urban Cluster",365,383,299,31,127,127,78,33,127,33
"G49825","2006-2010",,,,,,,,,,,,,,,,,,,,,"Lima, NY Urban Cluster","49825",,,,,,,,,,,"Lima, NY Urban Cluster",4413,4254,22,8,34,0,0,95,15,80,"Lima, NY Urban Cluster",247,266,19,12,27,123,123,72,17,70
"G49852","2006-2010",,,,,,,,,,,,,,,,,,,,,"Lima, OH Urbanized Area","49852",,,,,,,,,,,"Lima, OH Urbanized Area",71263,54960,12424,163,619,0,730,2367,423,1944,"Lima, OH Urbanized Area",810,763,440,58,124,119,251,451,197,427
"G49879","2006-2010",,,,,,,,,,,,,,,,,,,,,"Lincoln, CA Urban Cluster","49879",,,,,,,,,,,"Lincoln, CA Urban Cluster",12229,8942,230,91,178,0,2261,527,100,427,"Lincoln, CA Urban Cluster",632,726,258,78,155,132,580,207,86,193
"G49906","2006-2010",,,,,,,,,,,,,,,,,,,,,"Lincoln, IL Urban Cluster","49906",,,,,,,,,,,"Lincoln, IL Urban Cluster",18353,14538,3013,15,88,0,384,315,51,264,"Lincoln, IL Urban Cluster",351,956,1102,19,81,119,109,128,57,128
"G49933","2006-2010",,,,,,,,,,,,,,,,,,,,,"Lincoln, NE Urbanized Area","49933",,,,,,,,,,,"Lincoln, NE Urbanized Area",241462,212704,9038,1597,9183,220,2958,5762,513,5249,"Lincoln, NE Urbanized Area",887,979,509,268,384,53,602,627,161,642
"G49960","2006-2010",,,,,,,,,,,,,,,,,,,,,"Lincoln City, OR Urban Cluster","49960",,,,,,,,,,,"Lincoln City, OR Urban Cluster",8380,7383,0,191,85,0,467,254,76,178,"Lincoln City, OR Urban Cluster",226,388,123,94,87,123,284,150,100,113
